심화 국어,국어,B G H A E F,4
고전 읽기,국어,D,4
AP 미적분학1,수학,A,4
수학세미나 I,수학,D A C,4
수학 과제연구,수학,C,2
수학적 사고와 통계,수학,B E,2
통합수학 I,수학,B F D H E C,4
응용수학탐구,수학,C A B,4
심화 영어 I,영어,B C D E F,4
심화 영어 작문 I,영어,A,2
영어 비평적 읽기와 쓰기,영어,E,4
시사영어,영어,D,4
사회문화,사회,E C,4
생활과 윤리,사회,A,4
국제 경제,사회,F B,4
비교문화,사회,D F,4
AP 세계사,사회,B,4
고급 생명과학,과학,B A,4
프로그래밍,과학,D,2
유기화학,과학,E,4
고전역학,과학,C B,4
응용물리학탐구,과학,D F E,4
응용화학탐구,과학,C F,4
응용생명과학탐구,과학,C D F,4
응용지구과학탐구,과학,B C,4
에너지환경과학,과학,D E,4
스포츠 생활(남),체육,B B C C D D E E,2
스포츠 생활(여),체육,B B C C A A E E,2
음악사,예술,D E,2
미술사,예술,D E,2
음악 전공 실기,예술,A B D,4
매체 미술,예술,A B H,4
현대문학감상,예술,C A,2
중국어 독해와 작문 I,제2외국어,A,4
일본 문화,제3외국어,E D,4
중국 언어와 문화,제4외국어,C,4
심리학,교양,A D C A B D E,2
